"Description","Media Serial","Region","File","Size","MD5","CRC32"
"Aero the Acro-Bat 2 (Europe)","","","Aero the Acro-Bat 2 (Europe).sfc","2097152","8CDAE9F521E26EBECDFF4148AD3D0C88","242B8181"
"Aero the Acro-Bat 2 (USA)","","USA","Aero the Acro-Bat 2 (USA).sfc","2097152","85B449F98AF752E3255A256B6A89BB16","8C05ED51"
"Aero the Acro-Bat 2 (USA)","SNS-AE2E-USA","USA","Aero the Acro-Bat 2 (USA).sfc","2097152","85B449F98AF752E3255A256B6A89BB16","8C05ED51"
"Aerobiz (USA)","SNS-AL-USA","USA","Aerobiz (USA).sfc","1048576","B51BBAA7644DD8B432A66D11352E9C68","54302A46"
"Aerobiz Supersonic (USA)","SNS-AG-USA","USA","Aerobiz Supersonic (USA).sfc","1048576","6C0DF9CA9F3F05141C5DF69E7AD4D004","EFAFAB12"
"Aging Cassette (Japan)","","","Aging Cassette (Japan).sfc","131072","55B2A79C117F03079A75F51A89990CA0","55938E4E"
"Aguri Suzuki F-1 Super Driving (Europe)","SNSP-GF-UKV","Europe","Aguri Suzuki F-1 Super Driving (Europe).sfc","1048576","E34B50CCFAA8416E5B8F2A810EA6E9B3","C8382F39"
"AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan)","","","AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan).sfc","2097152","94E65120D25C607490E629A98BAC3B23","F953B79A"
"Air Cavalry (Europe)","SNSP-ACCP-EUR","Europe","Air Cavalry (Europe).sfc","1048576","444A1CA2373FD295248C18B42E2E3079","B3F57CC6"
"Air Cavalry (USA)","SNS-ACCE-USA","USA","Air Cavalry (USA).sfc","1048576","B8FA02456B70F529AFA265B2BA3D189F","6B452801"
"Air Management - Oozora ni Kakeru (Japan)","","","Air Management - Oozora ni Kakeru (Japan).sfc","1048576","36457512DD505702A81650D4620A5D3E","F6643226"
"Air Management - Oozora ni Kakeru (Japan) (Rev 1)","","","Air Management - Oozora ni Kakeru (Japan) (Rev 1).sfc","1048576","6463A3CBEEE3E79F2C65879876C4556D","A533BC97"
"Air Management II - Koukuu Ou o Mezase (Japan)","","","Air Management II - Koukuu Ou o Mezase (Japan).sfc","1048576","DE95BFE76698734526AB5A4B60AF4B59","8D0B3C85"
"Akagawa Jirou - Majotachi no Nemuri (Japan)","","","Akagawa Jirou - Majotachi no Nemuri (Japan).sfc","3145728","B166FC0F75E2EEF5E28CCF542A7CB355","167E4C15"
"Akagawa Jirou - Majotachi no Nemuri (Japan) (Rev 1) (NP)","none","Japan","Akagawa Jirou - Majotachi no Nemuri (Japan) (Rev 1) (NP).sfc","3145728","EBE0725659DA9AE5BE01E472E849BAAB","EE62AA7E"
"Akazukin Chacha (Japan)","","Japan","Akazukin Chacha (Japan).sfc","1572864","0D3E54C3867BDF7AF482BB0A991583D7","EEF47B5E"
"Akumajou Dracula (Japan)","","","Akumajou Dracula (Japan).sfc","1048576","3470065E780B127323DA7BF950306F9E","EDA59A2A"
"Akumajou Dracula XX (Japan)","","Japan","Akumajou Dracula XX (Japan).sfc","2097152","8633F40194D4EF61458AB8C24C14DBB5","0AA75FA8"
"Al Unser Jr.'s Road to the Top (Europe)","","","Al Unser Jr.'s Road to the Top (Europe).sfc","1048576","F086B3C1C0B2DDE6963D254F4CDF7EF2","4CF5D45F"
"Al Unser Jr.'s Road to the Top (USA)","SNS-AUJE-USA","USA","Al Unser Jr.'s Road to the Top (USA).sfc","1048576","48B9B7110373B958128B41DAEEBF45FB","D0550624"
"Aladdin (Europe)","SNSP-RJ-UKV","Europe","Aladdin (Europe).sfc","1310720","4D426A7ED36CD7EF896E31CDD48ED24E","44FF6E78"
"Aladdin (France)","","","Aladdin (France).sfc","1310720","61A86AEE5792EAF64A04BCB30257D985","63069939"
"Aladdin (Germany)","","","Aladdin (Germany).sfc","1310720","01AA89137B747DC68E108234B4973AFA","A7AD3E5D"
"Aladdin (Japan)","","","Aladdin (Japan).sfc","1310720","12DA508B745C4402641DDC95028FD677","1AEB696B"
"Aladdin (Spain)","","","Aladdin (Spain).sfc","1310720","6B09F8C51E5C989D950F9510F1F73224","90EE8C61"
"Aladdin (USA)","","USA","Aladdin (USA).sfc","1310720","8E00910312B30663768D907114D301C2","124D8E4D"
"Aladdin (USA)","SNS-RJ-USA","USA","Aladdin (USA).sfc","1310720","8E00910312B30663768D907114D301C2","124D8E4D"
"Aladdin (USA)","SNS-RJ","USA","Aladdin (USA).sfc","1310720","8E00910312B30663768D907114D301C2","124D8E4D"
"Aladdin (USA) (Beta)","","","Aladdin (USA) (Beta).sfc","1310720","2CC20404E20FAB848612FFF369E5C3C7","52FDFAB4"
"Albert Odyssey (Japan)","","Japan","Albert Odyssey (Japan).sfc","1048576","8822EB60EC69EDE557C3294BAE005B32","46CA01A9"
"Albert Odyssey 2 - Jashin no Taidou (Japan)","","Japan","Albert Odyssey 2 - Jashin no Taidou (Japan).sfc","2097152","17EE32DB6DE1524535D2F2E995380F70","1B6ADD7B"
"Alcahest (Japan)","","Japan","Alcahest (Japan).sfc","1048576","092CAAE4772502499B43F2F026DAA0A5","870427D0"
"Alfred Chicken (Europe)","SNSP-8A-UKV","Europe","Alfred Chicken (Europe).sfc","1048576","84EC7562B5D178951A60F85E79D3AE3E","E344627B"
"Alice no Paint Adventure (Japan)","","Japan","Alice no Paint Adventure (Japan).sfc","1048576","9907058DB9815C7F4068A6EDB870D673","05798DA8"
"Alien 3 (Europe)","SNSP-A3-FAH","Europe","Alien 3 (Europe).sfc","1048576","0F10EC520FBDBB009F97333B59FF8D49","378613B0"
"Alien 3 (Japan)","","","Alien 3 (Japan).sfc","1048576","ED460CFDB52936CC0C850FFC71A89A8A","8A21B63F"
"Alien 3 (USA)","","USA","Alien 3 (USA).sfc","1048576","09120BA8C0052997481117683B4E70DB","98E2AC15"
"Alien 3 (USA)","SNS-A3-USA","USA","Alien 3 (USA).sfc","1048576","09120BA8C0052997481117683B4E70DB","98E2AC15"
"Alien 3 (USA) (Beta)","","","Alien 3 (USA) (Beta).sfc","1048576","15B31E37AB766C440D6BC407FB4BA3E4","77713C95"
"Alien vs Predator (Europe)","","","Alien vs Predator (Europe).sfc","1048576","2EAD975340211E3F6893FDE8DD279689","A31D1F58"
"Alien vs Predator (USA)","SNS-AP-USA","USA","Alien vs Predator (USA).sfc","1048576","1FC2EAD45EADCAC586D65E218B895912","1803CF20"
"Aliens vs. Predator (Japan)","","","Aliens vs. Predator (Japan).sfc","1048576","9AFDDC507BA820BE7D788DD75EB6052F","2D5876FF"
"All-American Championship Football (Europe)","SNSP-LU-UKV","Europe","All-American Championship Football (Europe).sfc","524288","5D3AB5B37BB1B21AC21E176E9FF4CAAA","EBEFBDE2"
"Amazing Spider-Man, The - Lethal Foes (Japan)","","","Amazing Spider-Man, The - Lethal Foes (Japan).sfc","1572864","43D5D11A37C66A435FED06AA87DBBDFF","82F7F710"
"America Oudan Ultra Quiz (Japan)","","","America Oudan Ultra Quiz (Japan).sfc","1048576","B7EDE602782F8FF1CF182D1B7E95F2C6","9624E6ED"
"American Battle Dome (Japan)","","","American Battle Dome (Japan).sfc","1048576","20C7120AAA1538B185BA0A037574A2EA","61753981"
"American Gladiators (USA)","SNS-AA-USA","USA","American Gladiators (USA).sfc","1048576","8CF22B97AC6D18B72526A51BE2CFBB5F","76B151FD"
"American Tail, An - Fievel Goes West (Europe)","SNSP-9W-FAH","Europe","American Tail, An - Fievel Goes West (Europe).sfc","1048576","8573481BF12F2FDD8E66610D2C7B6914","080AC1B5"
"American Tail, An - Fievel Goes West (USA)","","USA","American Tail, An - Fievel Goes West (USA).sfc","1048576","A2AABE7064FF072DE65450D50D50BA93","EEA38AED"
"American Tail, An - Fievel Goes West (USA)","SNS-9W-USA","USA","American Tail, An - Fievel Goes West (USA).sfc","1048576","A2AABE7064FF072DE65450D50D50BA93","EEA38AED"
"Andre Agassi Tennis (Japan) (En)","","","Andre Agassi Tennis (Japan) (En).sfc","524288","16607EA102E62021F127D081D97CF24B","D9879A39"
"Andre Agassi Tennis (USA)","SNS-7A-USA","USA","Andre Agassi Tennis (USA).sfc","524288","9EBDFA25AA896E5E3D3AEC1DD8D9DB07","D1AE87BE"
"Angelique (Japan)","","","Angelique (Japan).sfc","2097152","2DF6243223F89EC161B5E015B085F7A0","EC3EDB9E"
