"Description","Media Serial","Region","File","Size","MD5","CRC32"
"Taiketsu!! Brass Numbers (Japan)","","","Taiketsu!! Brass Numbers (Japan).sfc","1048576","506D11CA9610D6AEB280D476699E3C07","27815B78"
"Taikou Risshiden (Japan)","SHVC-TD","Japan","Taikou Risshiden (Japan).sfc","1572864","F7F884101B3AFB0BEB7905EF5B7BFFBD","A2A0F40F"
"Taikyoku Igo - Goliath (Japan)","","","Taikyoku Igo - Goliath (Japan).sfc","1048576","1CFEA3CFF71F5AAAD50F2E5EE84AEA7D","01AFEC9C"
"Taikyoku Igo - Idaten (Japan)","","","Taikyoku Igo - Idaten (Japan).sfc","1048576","AF01C01B15E3775A184D233BC613EC71","B5DB72B6"
"Taiwan 16 Mahjong II - Horoscope Girls Edition (Hong Kong) (Unl) [b]","","","Taiwan 16 Mahjong II - Horoscope Girls Edition (Hong Kong) (Unl) [b].sfc","524288","2A5B7B6DDD3B0516CABCC5645F452140","561BBD96"
"Takahashi Meijin no Daibouken-jima (Japan)","","","Takahashi Meijin no Daibouken-jima (Japan).sfc","1048576","5B2A83D6727C4E19192AF2878654D301","37C0AE76"
"Takahashi Meijin no Daibouken-jima II (Japan)","SHVC-AT2J","Japan","Takahashi Meijin no Daibouken-jima II (Japan).sfc","1572864","BFF36FC37C1CC484FEC092463C1B7982","1C71451C"
"Take Yutaka GI Memory (Japan)","","","Take Yutaka GI Memory (Japan).sfc","3145728","3F3E0D9027B6F74DF42DBFA561A01B09","21A9925D"
"Takeda Nobuhiro no Super Cup Soccer (Japan)","","","Takeda Nobuhiro no Super Cup Soccer (Japan).sfc","524288","8EAC8FBAA1471A5E1A77E6A409E62CEF","1BB2A0A4"
"Takeda Nobuhiro no Super League Soccer (Japan)","","","Takeda Nobuhiro no Super League Soccer (Japan).sfc","1048576","CB983EC82A0825496CFF3F6DB14E40CC","383FACE4"
"Takemiya Masaki Kudan no Igo Taishou (Japan)","","","Takemiya Masaki Kudan no Igo Taishou (Japan).sfc","524288","A759B6A6812F38D6BB1F05AD98437EF6","639022AB"
"Tales of Phantasia (Japan)","","","Tales of Phantasia (Japan).sfc","6291456","207CD1C0AAACA29FAA389218B800F8FC","E9946B84"
"Tamagotch Town (Japan) (NP)","","","Tamagotch Town (Japan) (NP).sfc","1048576","C9BFAA0CF1365A1AE1D9BE62ABE0366B","2C877794"
"Targa (Europe) (Proto)","","","Targa (Europe) (Proto).sfc","4194304","29A09A9A6778AA892B9B6921E10B9A54","19FBA1D4"
"Tarot Mystery (Japan)","","","Tarot Mystery (Japan).sfc","1048576","A5DCBCA27C97E87E1EEBEFA5DCE52FB4","3CE00F85"
"Tatakae Genshijin 2 - Rookie no Bouken (Japan)","","","Tatakae Genshijin 2 - Rookie no Bouken (Japan).sfc","524288","95775D1573534E21BC3E41B987DEBDAC","689CBF05"
"Tatakae Genshijin 3 - Shuyaku wa Yappari Joe & Mac (Japan)","","","Tatakae Genshijin 3 - Shuyaku wa Yappari Joe & Mac (Japan).sfc","1048576","F8735BA04C6855CB0967EA7B416C5730","A0A9F044"
"Taz-Mania (Europe)","SNSP-TZ-UKV","Europe","Taz-Mania (Europe).sfc","1048576","D193730FAA0E90E231025ED108D5261A","4937A4F6"
"Taz-Mania (USA)","SNS-TZ","USA","Taz-Mania (USA).sfc","1048576","40BA81F7A10B6A2F718D4BCC09FBDF14","6CC571F5"
"Taz-Mania (USA) (Beta)","","","Taz-Mania (USA) (Beta).sfc","1048576","27BFF3902DC9F1245D07C17D76334D6F","5A5BD63C"
"Taz-Mania (USA) (Rev 1)","","USA","Taz-Mania (USA) (Rev 1).sfc","1048576","35A085F1E81B5F7D57DDF6B88533D4E2","B17230AE"
"Taz-Mania (USA) (Rev 1)","SNS-TZ-USA","USA","Taz-Mania (USA) (Rev 1).sfc","1048576","35A085F1E81B5F7D57DDF6B88533D4E2","B17230AE"
"Tecmo Secret of the Stars (USA)","","USA","Tecmo Secret of the Stars (USA).sfc","1572864","D26BABB046182E3A564FB1BDDDCE7E42","EF968ED1"
"Tecmo Secret of the Stars (USA)","SNS-AQ-USA","USA","Tecmo Secret of the Stars (USA).sfc","1572864","D26BABB046182E3A564FB1BDDDCE7E42","EF968ED1"
"Tecmo Secret of the Stars (USA) (Beta)","","","Tecmo Secret of the Stars (USA) (Beta).sfc","1048576","4ABC1FEE109B424A31F7562D43928FE7","421D2C18"
"Tecmo Super Baseball (Japan) (En)","","","Tecmo Super Baseball (Japan) (En).sfc","1572864","193F1D0F3838F392070DB8BF215D131C","2F98DB3E"
"Tecmo Super Baseball (USA)","SNS-ATBE-USA","USA","Tecmo Super Baseball (USA).sfc","1572864","E4FD6A93B8D2F666A5B24D46AFB39DF9","E302D853"
"Tecmo Super Baseball (USA) (Beta)","","","Tecmo Super Baseball (USA) (Beta).sfc","1572864","4A5E297D4CB3876132B8E00A1341AA34","024D4AF5"
"Tecmo Super Bowl (Japan) (En)","","","Tecmo Super Bowl (Japan) (En).sfc","1572864","C6610E7578F8D5930C4AA1358D4C2A0D","C7D84893"
"Tecmo Super Bowl (USA)","SNS-7T-USA","USA","Tecmo Super Bowl (USA).sfc","1572864","A1D58582E88A5F2CCF4394A4DADEBF3C","CDE3746B"
"Tecmo Super Bowl (USA) (Beta)","","","Tecmo Super Bowl (USA) (Beta).sfc","1572864","3069C2F07BB7288F33E97E75A97EA619","F8E691D9"
"Tecmo Super Bowl II - Special Edition (Japan) (En)","","","Tecmo Super Bowl II - Special Edition (Japan) (En).sfc","2097152","1ADE0779EA025CD86BB0C3005A01E8F7","5ACD46EC"
"Tecmo Super Bowl II - Special Edition (USA)","SNS-ASBE-USA","USA","Tecmo Super Bowl II - Special Edition (USA).sfc","2097152","2A97ADE8005ECD2EDD0C91439B3D4B94","D67D507B"
"Tecmo Super Bowl III - Final Edition (Japan) (En)","","","Tecmo Super Bowl III - Final Edition (Japan) (En).sfc","2097152","54A61236464BA8DEDCA795E641890637","F06C34E3"
"Tecmo Super Bowl III - Final Edition (USA)","SNS-AW4E-USA","USA","Tecmo Super Bowl III - Final Edition (USA).sfc","2097152","5EE901377B87E1C5C80C71B8AB6E2DD3","8EF1411F"
"Tecmo Super NBA Basketball (Australia)","","","Tecmo Super NBA Basketball (Australia).sfc","1048576","28E3F5814505CD0AD7883E820ADD7FA4","1B1C3DD9"
"Tecmo Super NBA Basketball (Europe)","SNSP-XM-UKV","Europe","Tecmo Super NBA Basketball (Europe).sfc","1048576","5637DE79E862B25451EDAF6C9466EC29","AEA63622"
"Tecmo Super NBA Basketball (Japan) (En)","","","Tecmo Super NBA Basketball (Japan) (En).sfc","1048576","0D1561450C26B5F0B85E3A0752AEDC7E","3DFE85B3"
"Tecmo Super NBA Basketball (Japan) (En) (Rev 1)","","","Tecmo Super NBA Basketball (Japan) (En) (Rev 1).sfc","1048576","3E87411742B25BC178E5BE04FE9644CD","538717B4"
"Tecmo Super NBA Basketball (USA)","SNS-XM-USA","USA","Tecmo Super NBA Basketball (USA).sfc","1048576","762557921081E2ADE5D3F1EC599892E5","1B6F0B43"
"Tecmo Super NBA Basketball (USA) (Beta)","","USA","Tecmo Super NBA Basketball (USA) (Beta).sfc","1048576","F14A9FBB03ACE5625DE1422D64316064","819F3A66"
"Teenage Mutant Hero Turtles - Tournament Fighters (Europe)","SNSP-8F-UKV","Europe","Teenage Mutant Hero Turtles - Tournament Fighters (Europe).sfc","2097152","F009F85C09B421748C8944957F7EFEB7","0DDA3124"
"Teenage Mutant Hero Turtles IV - Turtles in Time (Europe)","","","Teenage Mutant Hero Turtles IV - Turtles in Time (Europe).sfc","1048576","D61A2B7F57A1C944D5B6B7DEEBF90131","B0A3441E"
"Teenage Mutant Ninja Turtles - Mutant Warriors (Japan)","SHVC-KY","Japan","Teenage Mutant Ninja Turtles - Mutant Warriors (Japan).sfc","2097152","1B7851989F649BCFAA3257B78BD3B1A2","7E97E194"
"Teenage Mutant Ninja Turtles - Tournament Fighters (Australia)","","","Teenage Mutant Ninja Turtles - Tournament Fighters (Australia).sfc","2097152","2534450C6CC3BF67B964A28C0502E932","580026D9"
"Teenage Mutant Ninja Turtles - Tournament Fighters (USA)","SNS-KY-USA","USA","Teenage Mutant Ninja Turtles - Tournament Fighters (USA).sfc","2097152","878E95BCA6B94B3FA0E72FEF1867434C","E2FE5DBF"
"Teenage Mutant Ninja Turtles - Tournament Fighters (USA) (Beta)","","","Teenage Mutant Ninja Turtles - Tournament Fighters (USA) (Beta).sfc","2097152","9E0AB707D7133D78219B75426F3ABC5B","63E37D86"
"Teenage Mutant Ninja Turtles - Turtles in Time (Japan)","","","Teenage Mutant Ninja Turtles - Turtles in Time (Japan).sfc","1048576","D5863DF08BBB62FDC5FAE32A07ED580B","BDBA1B55"
"Teenage Mutant Ninja Turtles IV - Turtles in Time (Australia)","","","Teenage Mutant Ninja Turtles IV - Turtles in Time (Australia).sfc","1048576","1481A235FB9A9CC6DE00D85FA22505C4","B28F1B9D"
"Teenage Mutant Ninja Turtles IV - Turtles in Time (USA)","","USA","Teenage Mutant Ninja Turtles IV - Turtles in Time (USA).sfc","1048576","807009D25EB31559974DAA3E39EECCD7","5940BD99"
"Teenage Mutant Ninja Turtles IV - Turtles in Time (USA)","SNS-TM-USA","USA","Teenage Mutant Ninja Turtles IV - Turtles in Time (USA).sfc","1048576","807009D25EB31559974DAA3E39EECCD7","5940BD99"
"Teenage Mutant Ninja Turtles IV - Turtles in Time (USA) (Beta 2)","","","Teenage Mutant Ninja Turtles IV - Turtles in Time (USA) (Beta 2).sfc","1048576","41C74433082E4A423008608D1D0943D7","A9FB97E9"
"Teenage Mutant Ninja Turtles IV - Turtles in Time (USA) (Beta 1)","","USA","Teenage Mutant Ninja Turtles IV - Turtles in Time (USA) (Beta 1).sfc","1048576","5B0099E2B44A9EE1A5DB684653FFED73","0598C5F4"
"Teitoku no Ketsudan (Japan)","","","Teitoku no Ketsudan (Japan).sfc","1310720","9A8CCC5D0B280C01EB1D017160E5BEFD","AA507855"
"Teitoku no Ketsudan (Japan) (Rev 1)","","","Teitoku no Ketsudan (Japan) (Rev 1).sfc","1310720","2EAC4E0CE9851F4A9480BB7218ABA880","73AEDE7E"
"Teitoku no Ketsudan II (Japan)","SHVC-ATEJ-JPN","Japan","Teitoku no Ketsudan II (Japan).sfc","3145728","99DE0F32588960906B3F5305EF3C04D5","D71810E7"
"Teitoku no Ketsudan II (Japan) (Rev 1)","","","Teitoku no Ketsudan II (Japan) (Rev 1).sfc","3145728","E3465E0EACD7E74B274C1347CAB58AF3","DAFED69C"
"Tekichuu Keiba Juku (Japan)","","","Tekichuu Keiba Juku (Japan).sfc","1048576","65560F43DC2AAFC6093C6E992409F75E","47E09FEC"
"Tekken 2 (World) (Unl) (Pirate)","","","Tekken 2 (World) (Unl) (Pirate).sfc","2097152","A51048FF587FF8F58C9B25BCF5DE6D5E","066687CA"
"Tenchi Muyou! - Game Hen (Japan)","","Japan","Tenchi Muyou! - Game Hen (Japan).sfc","2097152","2402F5886F141C8C81AD863B1F603975","69D9CAA9"
"Tenchi Muyou! - Game Hen (Japan) (Sample)","","Japan","Tenchi Muyou! - Game Hen (Japan) (Sample).sfc","2097152","7BF8DF438A1BDB89840DC5B5A26E6833","F0E82B14"
"Tenchi o Kurau - Sangokushi Gunyuuden (Japan)","","","Tenchi o Kurau - Sangokushi Gunyuuden (Japan).sfc","1572864","81E3D2DBADBB7E886CEBB9FF2F8F8064","4740C9E4"
"Tenchi Souzou (Japan)","","Japan","Tenchi Souzou (Japan).sfc","4194304","5BEC2D7ECF3117B479C69CADA8EBAFA4","3CC7FDF4"
"Tengai Makyou Zero (Japan)","","","Tengai Makyou Zero (Japan).sfc","5242880","29998124A67DEDA111D5ACA8AAF5DCA5","1E327BD9"
"Tengai Makyou Zero (Japan) (Shounen Jump no Shou)","","","Tengai Makyou Zero (Japan) (Shounen Jump no Shou).sfc","5242880","A7438CD69E608BD2B268DDC0ED05C2CD","BF8FEF7A"
"Tenryuu Genichirou no Pro Wres Revolution (Japan)","","","Tenryuu Genichirou no Pro Wres Revolution (Japan).sfc","2097152","A2029C66518DB9E91BAF303E94287167","D5FB8C83"
"Tenshi no Uta - Shiroki Tsubasa no Inori (Japan)","","Japan","Tenshi no Uta - Shiroki Tsubasa no Inori (Japan).sfc","1572864","D00240E123029FFD4F5E8C3288E655A6","6E030B96"
"Terminator 2 - Judgment Day (Europe)","SNSP-TP-FAH","Europe","Terminator 2 - Judgment Day (Europe).sfc","1048576","4A82F6A55B17D9BB730AEDA043711C58","6EE8F433"
"Terminator 2 - Judgment Day (Europe) (Beta)","","","Terminator 2 - Judgment Day (Europe) (Beta).sfc","1048576","0D1E3D3DF062422B90CB18BB085DC4EC","AC933465"
"Terminator 2 - Judgment Day (USA)","SNS-TP-USA","USA","Terminator 2 - Judgment Day (USA).sfc","1048576","64E0FDFC5DD759018924791FAA77C2F9","F729B19E"
"Terminator, The (Europe)","SNSP-TN-NOE","Europe","Terminator, The (Europe).sfc","1048576","B82A150B3DD309D694DB9E19F4C50D86","151109F6"
"Terminator, The (Europe) (Beta)","","","Terminator, The (Europe) (Beta).sfc","1048576","C8AD08A7E8127E5374C7A76215236777","6C853888"
"Terminator, The (USA)","SNS-TN-USA","USA","Terminator, The (USA).sfc","1048576","44EA32A5A4E5600282A16B094641CE07","D71E6C3B"
"Terranigma (Europe)","SNS-AQTP-EUR","Europe","Terranigma (Europe).sfc","4194304","D202156549F981F6DAFC759575DD6E67","974523FF"
"Terranigma (Europe)","SNSP-AQTP-EUR","Europe","Terranigma (Europe).sfc","4194304","D202156549F981F6DAFC759575DD6E67","974523FF"
"Terranigma (France)","","","Terranigma (France).sfc","4194304","8995FFE9FA821AA54A7C17BFF7647F66","614A7090"
"Terranigma (Germany)","SNSP-AQTD-NOE","Germany","Terranigma (Germany).sfc","4194304","2FF43498FBB957FACF11C598DD8A6299","FFC21CB9"
"Terranigma (Germany) (Rev 1)","","","Terranigma (Germany) (Rev 1).sfc","4194304","4F3F3C5504A524A0716B965808709118","6FB8A4DF"
"Terranigma (Spain)","","","Terranigma (Spain).sfc","4194304","5223853D5EDC9856F2BF8A9F04D01D3A","00E61534"
"Tetris & Dr. Mario (Europe)","SNSP-ATFP-ESP","Europe","Tetris & Dr. Mario (Europe).sfc","1048576","BCC6F990C2BEFBA0F8AF1FE5DB95B3EC","523E4153"
"Tetris & Dr. Mario (Europe)","SNSP-ATFP-EUR","Europe","Tetris & Dr. Mario (Europe).sfc","1048576","BCC6F990C2BEFBA0F8AF1FE5DB95B3EC","523E4153"
"Tetris & Dr. Mario (USA)","","USA","Tetris & Dr. Mario (USA).sfc","1048576","73CF4163C3C2B3F8A38775A5D132C448","6C852EF3"
"Tetris & Dr. Mario (USA)","SNS-ATFE-USA","USA","Tetris & Dr. Mario (USA).sfc","1048576","73CF4163C3C2B3F8A38775A5D132C448","6C852EF3"
"Tetris & Dr. Mario (USA)","SNS-AFTE-USA","USA","Tetris & Dr. Mario (USA).sfc","1048576","73CF4163C3C2B3F8A38775A5D132C448","6C852EF3"
"Tetris & Dr. Mario (USA)","SNS-ATFE-USA","USA","Tetris & Dr. Mario (USA).sfc","1048576","73CF4163C3C2B3F8A38775A5D132C448","6C852EF3"
"Tetris 2 (Europe)","SNSP-27-NOE","Europe","Tetris 2 (Europe).sfc","1048576","28D41F1B044AA415B094C48522AFC7F1","19B69A57"
"Tetris 2 (USA)","SNS-27-USA","USA","Tetris 2 (USA).sfc","1048576","3A8BCED70AA5AFC873F0DE1B2E2D388A","CE3392B1"
"Tetris 2 (USA) (Rev 1)","","USA","Tetris 2 (USA) (Rev 1).sfc","1048576","DB2C468AA5888BB669938724ABEE691D","3BC7054A"
"Tetris 2 (USA) (Rev 1)","SNS-27-USA","USA","Tetris 2 (USA) (Rev 1).sfc","1048576","DB2C468AA5888BB669938724ABEE691D","3BC7054A"
"Tetris Attack (Europe) (En,Ja)","SNSP-AYLP-EUR","Europe","Tetris Attack (Europe) (En,Ja).sfc","1048576","90854FCF608034C654745AE24411EF7A","7417E83B"
"Tetris Attack (USA) (En,Ja)","","USA","Tetris Attack (USA) (En,Ja).sfc","1048576","44BB94606356F1C0965E12BBC50866B3","6C128210"
"Tetris Attack (USA) (En,Ja)","SNS-AYLE-USA","USA","Tetris Attack (USA) (En,Ja).sfc","1048576","44BB94606356F1C0965E12BBC50866B3","6C128210"
"Tetris Battle Gaiden (Japan)","","Japan","Tetris Battle Gaiden (Japan).sfc","1048576","F21E1FEFCB3187877060B3FAFB53ABD2","B8F5F846"
"Tetris Battle Gaiden (Japan)","SHVC-4G","Japan","Tetris Battle Gaiden (Japan).sfc","1048576","F21E1FEFCB3187877060B3FAFB53ABD2","B8F5F846"
"Tetris Flash (Japan)","","","Tetris Flash (Japan).sfc","1048576","77865EE0E03A2E1A05AFDB93C5126C47","09E9E3BB"
"Tetsuwan Atom (Japan)","","Japan","Tetsuwan Atom (Japan).sfc","1310720","053E92D49E0586F2768D6FB245A4AFC2","2B79FAF0"
"Theme Park (Europe) (En,Fr,De)","SNSP-ATQP-UKV","Europe","Theme Park (Europe) (En,Fr,De).sfc","1048576","B1A4A4696E579168D5B1B6E2C8BA8440","CA0E041C"
"Theme Park (Japan)","","","Theme Park (Japan).sfc","2097152","83BBF12F62263B718704FBA61CF75E29","6797884A"
"Thomas the Tank Engine & Friends (Europe)","SNSP-6T-UKV","Europe","Thomas the Tank Engine & Friends (Europe).sfc","1048576","78E167B92C8F5BC10E62ECBECCC1C0B1","F597A111"
"Thomas the Tank Engine & Friends (USA)","SNS-6T-USA","USA","Thomas the Tank Engine & Friends (USA).sfc","1048576","923EC0C22B5083B6E3A32E54F822F4FB","BB4CD5A4"
"Thoroughbred Breeder (Japan)","SHVC-TF","Japan","Thoroughbred Breeder (Japan).sfc","1048576","B12B15DB038A20EC71C8EEEBBBF5391D","FE0B27EF"
"Thoroughbred Breeder II (Japan)","","","Thoroughbred Breeder II (Japan).sfc","2097152","C0AF73FEB258B801F911677111517BAA","9D89BD3A"
"Thoroughbred Breeder III (Japan)","SHVC-AIWJ-JPN","Japan","Thoroughbred Breeder III (Japan).sfc","2097152","92805169E1FA45DDA33B0B8CEE8DAE39","5C7FC277"
"Thunder Spirits (Japan) (En)","","Japan","Thunder Spirits (Japan) (En).sfc","1048576","4DCB347551A5D8A232E972F3ADBE9C23","41A933A6"
"Thunder Spirits (USA)","SNS-TH-USA","USA","Thunder Spirits (USA).sfc","1048576","B8249A26BFEDEB4C723CC021C23F2652","522FE837"
"Tick, The (USA)","SNS-ATHE-USA","USA","Tick, The (USA).sfc","2097152","E2D1F8E997E1091A4465BA8A76D4357E","12AB22A7"
"Time Slip (Europe)","SNSP-XT-UKV","Europe","Time Slip (Europe).sfc","1048576","B24BCD646A121C3F031640DE5AD393CB","ADAC8EFF"
"Time Slip (Europe) (Beta)","","","Time Slip (Europe) (Beta).sfc","1048576","E78976C1794FEB111B1B2F36FA2CE618","DE12F893"
"Time Slip (USA)","","USA","Time Slip (USA).sfc","1048576","7BBA0629BB668EDAC3692CAFFCA4A638","838D0304"
"Time Slip (USA)","SNS-XT-USA","USA","Time Slip (USA).sfc","1048576","7BBA0629BB668EDAC3692CAFFCA4A638","838D0304"
"Time Trax (Europe)","SNSP-X8-UKV","Europe","Time Trax (Europe).sfc","1048576","35054BF29FA226E4DE211FC7957F1725","4D7C512F"
"Time Trax (USA)","SNS-X8-USA","USA","Time Trax (USA).sfc","1048576","ADA1ADBF0155EA67FD25A9C88645180A","F6628157"
"Time Trax (USA) (Beta)","","","Time Trax (USA) (Beta).sfc","1048576","F77A528CBD79BC685780D2AE2E32F2DC","A7A54043"
"Timecop (Europe)","SNSP-ATCP-EUR","Europe","Timecop (Europe).sfc","2097152","A516B85A0889D6C54F2C51BCD9D2BC4C","BC0C9B71"
"Timecop (Japan)","","","Timecop (Japan).sfc","2097152","57E9F0654B636C6C6B158EAD518D54C4","4D56B5C3"
"Timecop (USA)","SNS-ATCE-USA","USA","Timecop (USA).sfc","2097152","3C5CD507217A032BBE99EB01A2AEE824","130B0933"
"Timon & Pumbaa's Jungle Games (Europe)","","","Timon & Pumbaa's Jungle Games (Europe).sfc","1572864","9B35CCAF117B408D36FF204D4C4955FA","5E91C599"
"Timon & Pumbaa's Jungle Games (USA)","SNS-AJ9E-USA","USA","Timon & Pumbaa's Jungle Games (USA).sfc","1572864","60A86BA313DE38D47E17AF55A864A626","341C6FB0"
"Tin Star (USA)","","USA","Tin Star (USA).sfc","2097152","54981549724B1DA80E7F52407F9C83CF","EC26F75B"
"Tin Star (USA)","SNS-9N-USA","USA","Tin Star (USA).sfc","2097152","54981549724B1DA80E7F52407F9C83CF","EC26F75B"
"Tinhead (Europe) (Proto)","","","Tinhead (Europe) (Proto).sfc","1048576","15BF8DD13E3D155739F8103B8934CC80","1E079AC0"
"Tintin - Prisoners of the Sun (Europe) (En,Fr,De,Es)","SNSP-A2VP-EUR","Europe","Tintin - Prisoners of the Sun (Europe) (En,Fr,De,Es).sfc","2097152","BEB9FD851586AF3AD5172D07AE1A9103","A94A47BE"
"Tintin in Tibet (Europe) (En,Fr,De,Nl)","SNSP-AT6P-FAH","Europe","Tintin in Tibet (Europe) (En,Fr,De,Nl).sfc","1572864","5D6716D6793E9F9C456265D18CF763BC","F1DCE2B7"
"Tiny Toon Adventures (Japan)","","","Tiny Toon Adventures (Japan).sfc","1048576","19A1E55F30354FF715D9E2BBA705EFC8","854FAC00"
"Tiny Toon Adventures (Japan) (Rev 1)","SHVC-TA","","Tiny Toon Adventures (Japan) (Rev 1).sfc","1048576","E09D7A243FF5E944F058DAFBAA60F107","8F0D2C90"
"Tiny Toon Adventures - Buster Busts Loose! (Europe)","SNSP-TA-UKV","Europe","Tiny Toon Adventures - Buster Busts Loose! (Europe).sfc","1048576","634A1209C90063589551349717CA1EF0","38CD6BB0"
"Tiny Toon Adventures - Buster Busts Loose! (Spain)","","","Tiny Toon Adventures - Buster Busts Loose! (Spain).sfc","1048576","C8EBC624D2BCCBF3EB3F46C434A24CB8","EEB4180C"
"Tiny Toon Adventures - Buster Busts Loose! (USA)","","USA","Tiny Toon Adventures - Buster Busts Loose! (USA).sfc","1048576","68E83FE143A01EA5A68BBDFC17A34A2D","AB48D27A"
"Tiny Toon Adventures - Buster Busts Loose! (USA)","SNS-TA-USA","USA","Tiny Toon Adventures - Buster Busts Loose! (USA).sfc","1048576","68E83FE143A01EA5A68BBDFC17A34A2D","AB48D27A"
"Tiny Toon Adventures - Buster Busts Loose! (USA) (Beta)","","","Tiny Toon Adventures - Buster Busts Loose! (USA) (Beta).sfc","1048576","C7A4A2E9B545A88C1CAF495810DE6022","F1F8F87A"
"Tiny Toon Adventures - Dotabata Daiundoukai (Japan)","","","Tiny Toon Adventures - Dotabata Daiundoukai (Japan).sfc","1048576","17A7ED97F6DC9C3E4FFAB7D33E07A3F0","01344C8E"
"Tiny Toon Adventures - Wacky Sports Challenge (USA)","","USA","Tiny Toon Adventures - Wacky Sports Challenge (USA).sfc","1048576","3D946C89E1B62223A505F367BABAC5DA","AFE72FF0"
"Tiny Toon Adventures - Wacky Sports Challenge (USA)","SNS-5Z-USA","USA","Tiny Toon Adventures - Wacky Sports Challenge (USA).sfc","1048576","3D946C89E1B62223A505F367BABAC5DA","AFE72FF0"
"Tiny Toon Adventures - Wild & Wacky Sports (Europe)","SNSP-5Z-EUR","Europe","Tiny Toon Adventures - Wild & Wacky Sports (Europe).sfc","1048576","B4C4D7760020444AE63DBE794E154AA1","AE78B20E"
"Tiny Toon Adventures - Wild & Wacky Sports (Europe) (Beta)","","","Tiny Toon Adventures - Wild & Wacky Sports (Europe) (Beta).sfc","1048576","047684CD1C2D6CB158BEF2E3176A048B","F13002C7"
"Tiny Toon Adventures - Wild & Wacky Sports (Europe) (Rev 1)","","","Tiny Toon Adventures - Wild & Wacky Sports (Europe) (Rev 1).sfc","1048576","513443CBEB457A436350226D8E40FF08","0F3B758D"
"TKO Super Championship Boxing (Europe)","","","TKO Super Championship Boxing (Europe).sfc","524288","64CE2B4355BC57AA2DD0DB73882AC87B","8871E0FF"
"TKO Super Championship Boxing (USA)","SNS-BX-USA","USA","TKO Super Championship Boxing (USA).sfc","524288","CE4C0781255C881E57FA370ECFFB776F","FD4AF462"
"TKO Super Championship Boxing (USA) (Sample)","","","TKO Super Championship Boxing (USA) (Sample).sfc","524288","CFDCD6A8EDE7EEB243B2FACF6344AAA8","5F2AB21D"
"TNN Bass Tournament of Champions (USA)","SNS-ATNE-USA","USA","TNN Bass Tournament of Champions (USA).sfc","1572864","BC1ECC206489D59D9AC247127C6ED546","C367B683"
"Todd McFarlane's Spawn - The Video Game (Japan) (En) (Putative Proto)","","","Todd McFarlane's Spawn - The Video Game (Japan) (En) (Putative Proto).sfc","3145728","F62EC5353CC30E5CE307204BD1F90CF5","5C104DBF"
"Todd McFarlane's Spawn - The Video Game (Europe)","","","Todd McFarlane's Spawn - The Video Game (Europe).sfc","3145728","F22F267B9DE289701B1753E9BB5C9279","0CA0B84F"
"Todd McFarlane's Spawn - The Video Game (USA)","SNS-A9WE-USA","USA","Todd McFarlane's Spawn - The Video Game (USA).sfc","3145728","FA499B552C4C9CCCD089802147B5DCD5","4E1DAFD0"
"Tokimeki Memorial - Densetsu no Ki no Shita de (Japan)","","","Tokimeki Memorial - Densetsu no Ki no Shita de (Japan).sfc","4194304","CDCA5978F74062B38B5FDE8C54C833CA","6A3CCEB1"
"Tokimeki Memorial - Densetsu no Ki no Shita de (Japan) (Rev 1)","","","Tokimeki Memorial - Densetsu no Ki no Shita de (Japan) (Rev 1).sfc","4194304","CD36EB8982DE4BF8369DEB9F2F23E590","AE9F3602"
"Tokoro's Mahjong (Japan)","","","Tokoro's Mahjong (Japan).sfc","1048576","3C38BF1D6BAE1C1BC808055A155ECFAB","49DBFF84"
"Tom & Jerry (USA) (Beta)","","","Tom & Jerry (USA) (Beta).sfc","524288","B690FF0D506FC20FAF670CD42C3DC01F","CB6D3883"
"Tom and Jerry (Europe)","SNSP-TJ-UKV","Europe","Tom and Jerry (Europe).sfc","524288","730EFF17E6DF2DDF4E2A8511F12F5B19","72B57042"
"Tom and Jerry (USA)","","USA","Tom and Jerry (USA).sfc","524288","BC16BE2E9C7E170F7CD10DA919F3E099","8B1DAFBB"
"Tom and Jerry (USA)","SNS-TJ-USA","USA","Tom and Jerry (USA).sfc","524288","BC16BE2E9C7E170F7CD10DA919F3E099","8B1DAFBB"
"Tom to Jerry (Japan)","","","Tom to Jerry (Japan).sfc","524288","5CA81CEF38F609C6EB3AEF7D567137F5","BA2DE054"
"Tommy Moe's Winter Extreme - Skiing and Snowboarding (USA)","SNS-XS-USA","USA","Tommy Moe's Winter Extreme - Skiing and Snowboarding (USA).sfc","1048576","3D37DCACE45DF8926E61E98ACA5EECEC","3D005F22"
"Tommy Moe's Winter Extreme - Skiing and Snowboarding (USA)","SNS-XS","USA","Tommy Moe's Winter Extreme - Skiing and Snowboarding (USA).sfc","1048576","3D37DCACE45DF8926E61E98ACA5EECEC","3D005F22"
"Tony Meola's Sidekicks Soccer (USA)","SNS-6K-USA","USA","Tony Meola's Sidekicks Soccer (USA).sfc","1048576","EEFC344B7455835E4DC4D8CDBD26AB79","32B658C1"
"Tony Meola's Sidekicks Soccer (USA) (Beta)","SHVC-2P3B-01","USA","Tony Meola's Sidekicks Soccer (USA) (Beta).sfc","1048576","E02FB4A0EAD8935AF835035111D14234","7A021E12"
"Top Gear (Europe)","SNSP-TR-NOE","Europe","Top Gear (Europe).sfc","524288","9D66F2463E8F85942B7967E23BBCD53B","B0150052"
